mid	profession	count	ambiguous1	level1	ambiguous2	level2	ambiguous3	level3
<http://rdf.freebase.com/ns/m.025b7t1>	Sports League Award Winner	1	0	sports	0	other sports role	0	other sports role
<http://rdf.freebase.com/ns/m.02xlh55>	Politician	2325	0	leadership	0	politics	0	politics
<http://rdf.freebase.com/ns/m.05kpwk1>	U.S. Congressperson	170	0	leadership	0	politics	0	politics
<http://rdf.freebase.com/ns/m.046x372>	Judge	59	0	leadership	0	politics	0	politics
<http://rdf.freebase.com/ns/m.04fnrhx>	Monarch	7	0	leadership	0	politics	0	politics
<http://rdf.freebase.com/ns/m.02h66g5>	Military Person	806	0	leadership	0	military	0	military
<http://rdf.freebase.com/ns/m.02h77nv>	Military Commander	18	0	leadership	0	military	0	military
<http://rdf.freebase.com/ns/m.05ffvtw>	Chivalric Order Member	87	0	leadership	0	military	0	military
<http://rdf.freebase.com/ns/m.02knxzt>	Religious Leader	258	0	leadership	0	religion	0	religion
<http://rdf.freebase.com/ns/m.02knxz_>	Religious Leadership Role	1	0	leadership	0	religion	0	religion
<http://rdf.freebase.com/ns/m.02_77lg>	Organization founder	381	0	leadership	0	other leadership	0	other leadership
<http://rdf.freebase.com/ns/m.02h51nz>	Organization leader	283	0	leadership	0	other leadership	0	other leadership
<http://rdf.freebase.com/ns/m.03j41y_>	Academic	608	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.02k76m0>	Inventor	38	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.01xljxw>	Physician	37	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.021y8yh>	Astronaut	27	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.021ynvf>	Astronomer	22	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.0220thb>	Computer Scientist	22	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.02k6s1t>	Translator	14	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.01xljr1>	Surgeon	7	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.01xpjxn>	Aircraft designer	2	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.0b7mrwc>	Honorary Degree Recipient	2	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.02jcrkd>	Invention	1	0	academia/engineering	0	academia/engineering	0	academia/engineering
<http://rdf.freebase.com/ns/m.04kcyl6>	Amusement Ride Designer	1	0	academia/engineering	0	academia/engineering	0	academia/engineering

